"Agric","Food","Soda","Beer","Smoke","Toys","Fun","Books","Hshld","Clths","Hlth","MedEq","Drugs","Chems","Rubbr","Txtls","BldMt","Cnstr","Steel","FabPr","Mach","ElcEq","Autos","Aero","Ships","Guns","Gold","Mines","Coal","Oil","Util","Telcm","PerSv","BusSv","Hardw","Softw","Chips","LabEq","Paper","Boxes","Trans","Whlsl","Rtail","Meals","Banks","Insur","RlEst","Fin","Other"
-0.0871,-0.0696,-0.0354,-0.0207,-0.0476,-0.078,-0.1019,-0.1106,-0.0346,-0.1205,-0.0277,4e-04,-0.0337,-0.0422,-0.1176,-0.0623,-0.0681,-0.0943,-0.0652,-0.1033,-0.0637,-0.0863,-0.0776,-0.1352,-0.086,-0.0936,-0.2073,-0.0631,0.0558,-0.0973,-0.0298,-0.0449,-0.1074,-0.0743,-0.0492,-0.2617,-0.064,-0.0494,-0.0366,-0.0314,-0.1249,-0.0994,-0.0828,-0.1035,-0.0661,-0.102,-0.1326,-0.091,-0.1314
0.0458,0.0455,0.0547,0.0667,0.0399,0.0639,0.1153,0.1003,0.0475,0.0251,0.1382,0.1365,0.0811,0.0331,0.0503,0.0419,0.0843,0.0881,0.0039,0.0337,0.0307,0.0461,0.0279,0.0502,0.0954,-0.0019,0.101,0.0374,0.0478,0.066,-0.0129,0.0166,0.0193,0.0982,0.0769,0.1646,0.054,0.0507,0.0411,0.0611,0.0558,0.0631,0.0828,0.0886,0.128,0.0877,0.1547,0.0882,0.0839
0.0114,-0.0061,0.0522,-0.0093,0.0414,0.0187,0.0064,-0.0065,-0.0054,-0.027,0.05,0.0203,0.0218,-0.0545,0.0088,-0.0305,-0.0358,-0.0248,-0.0104,-0.0361,-0.0293,-0.0175,-0.0091,-0.0551,-3e-04,-0.0278,0.0511,0.0111,-0.0055,-0.0971,-0.0414,-0.04,0.0296,0.0197,-0.0019,-0.1196,0.0161,0.0237,-0.0184,0.0118,-0.0161,0.0034,-0.0076,-0.0102,-0.0294,0.0701,-0.0352,-0.0252,-0.0461
0.1622,0.0799,0.0681,0.1163,0.1242,0.0641,0.1304,0.075,0.0639,0.0731,0.2189,0.0836,0.09,0.0453,0.0774,0.0676,0.0862,0.0967,0.0816,0.046,0.0485,0.1067,0.0494,0.0628,0.0599,0.0968,-0.1004,0.0468,0.1076,-0.0117,0.0828,0.035,0.1058,0.1127,0.0423,0.4321,0.0843,0.1048,0.0723,0.0347,0.0476,0.112,0.0625,0.0897,0.1072,0.057,0.0379,0.1021,0.0078
-0.023,-0.0072,-0.0492,-0.0282,0.0061,-0.0828,-0.0352,-0.0389,-0.0243,-0.0309,-0.0444,0.0164,6e-04,-0.0457,-0.0611,-0.0425,-0.031,-0.0981,-0.0458,-0.0435,-0.0339,-0.0343,-0.0412,-0.091,-0.051,-0.0779,-0.0314,0.0088,0.0398,-0.0457,-0.0526,0.0118,-0.0477,-0.0282,-0.0084,-0.1379,-0.0396,-0.0458,-0.0351,-0.0196,-0.0793,-0.0671,-0.0411,-0.0247,-0.09,-0.049,-0.0644,-0.0588,-0.0393
-0.0077,-0.0203,0.0377,-0.0061,-0.0194,-0.0656,-0.0341,-0.0321,0.0096,-0.0604,0.0669,0.078,0.0339,-0.0366,-0.0585,-0.0563,-0.0282,-0.0803,-0.013,0.1219,-0.029,-0.0255,-0.0318,-0.0637,-0.038,-0.0373,-0.1008,-0.0245,0.0511,-0.0307,-0.0065,-0.0551,0.0122,-0.0028,0.0029,-0.15,-0.0387,0.0188,-0.0099,-0.0265,-0.0798,-0.0394,-0.0277,-0.0516,-0.007,-0.0294,-0.0458,-0.0309,-0.1333
0.0083,-0.0281,-0.0276,-0.0135,-0.0699,-0.0797,-0.0574,-0.1139,-0.069,-0.0509,-0.0474,-0.1104,-0.061,-0.0677,-0.0269,-0.0466,-0.0895,-0.1223,-0.0571,-0.0398,-0.0667,-0.0629,-0.0875,-0.1354,-0.0338,-0.0947,0.014,-0.0247,-0.0017,-0.1156,-0.0423,-0.0256,-0.2387,-0.0905,-0.0886,-0.2941,-0.1031,-0.0753,-0.0792,-0.0849,-0.0762,-0.0768,-0.0571,-0.1252,-0.0753,-0.0888,-0.1096,-0.1071,-0.0359
0.0948,0.0596,0.0386,0.0687,0.0028,0.0604,0.0822,0.0068,0.0028,0.0322,-0.2134,0.0603,0.0573,0.0376,0.0357,0.0501,0.0955,4e-04,0.1101,0.0399,0.0652,0.083,0.0767,0.0422,0.1079,0.0596,-0.0074,0.0758,0.1682,0.0522,0.0836,0.0795,-0.0223,0.0333,0.0186,0.1667,0.0651,0.0194,0.0391,0.0637,0.1048,0.0181,0.0577,0.0659,0.1554,0.1035,0.0015,0.087,-0.0481
-0.1328,-0.0061,-0.0108,-0.006,0.0142,-0.0283,-0.0252,-0.0289,-0.0096,-0.0109,-0.0417,-0.0633,-0.048,0.0083,-0.0093,0.0112,-0.0119,-0.0334,0.0081,0.0087,0.0262,0.0242,0.0475,-0.0289,0.0012,-0.0412,-0.0131,-0.0153,-0.0329,-0.0038,0.0291,0.0229,-0.1074,-0.0444,-0.0158,-0.0857,-0.0433,-0.0788,0.0126,-0.0237,-0.0334,-0.0528,-0.0103,-0.0734,-0.012,-0.0025,-0.0104,-0.0064,0.0014
-0.1764,-0.1057,-0.0867,-0.0941,-0.0282,-0.1992,-0.2182,-0.1517,-0.0792,-0.1435,-0.3911,-0.114,-0.0958,-0.0431,-0.1534,-0.0761,-0.1018,-0.1518,-0.0943,-0.2431,-0.1098,-0.0838,-0.0906,-0.1608,-0.0693,-0.1101,-0.1429,-0.1319,-0.147,-0.0907,-0.0806,-0.0879,-0.2417,-0.2106,-0.132,-0.3594,-0.1792,-0.1334,-0.0674,-0.1069,-0.1196,-0.2056,-0.1008,-0.1985,-0.109,-0.1527,-0.1891,-0.1255,-0.272
