"Date","rf"
1926-07-01,0.0022
1926-08-01,0.0025
1926-09-01,0.0023
1926-10-01,0.0032
1926-11-01,0.0031
1926-12-01,0.0028
1927-01-01,0.0025
1927-02-01,0.0026
1927-03-01,0.003
1927-04-01,0.0025
1927-05-01,0.003
1927-06-01,0.0026
1927-07-01,0.003
1927-08-01,0.0028
1927-09-01,0.0021
1927-10-01,0.0025
1927-11-01,0.0021
1927-12-01,0.0022
1928-01-01,0.0025
1928-02-01,0.0033
1928-03-01,0.0029
1928-04-01,0.0022
1928-05-01,0.0032
1928-06-01,0.0031
1928-07-01,0.0032
1928-08-01,0.0032
1928-09-01,0.0027
1928-10-01,0.0041
1928-11-01,0.0038
1928-12-01,6e-04
1929-01-01,0.0034
1929-02-01,0.0036
1929-03-01,0.0034
1929-04-01,0.0036
1929-05-01,0.0044
1929-06-01,0.0052
1929-07-01,0.0033
1929-08-01,0.004
1929-09-01,0.0035
1929-10-01,0.0046
1929-11-01,0.0037
1929-12-01,0.0037
1930-01-01,0.0014
1930-02-01,0.003
1930-03-01,0.0035
1930-04-01,0.0021
1930-05-01,0.0026
1930-06-01,0.0027
1930-07-01,0.002
1930-08-01,9e-04
1930-09-01,0.0022
1930-10-01,9e-04
1930-11-01,0.0013
1930-12-01,0.0014
1931-01-01,0.0015
1931-02-01,4e-04
1931-03-01,0.0013
1931-04-01,8e-04
1931-05-01,9e-04
1931-06-01,8e-04
1931-07-01,6e-04
1931-08-01,3e-04
1931-09-01,3e-04
1931-10-01,0.001
1931-11-01,0.0017
1931-12-01,0.0012
1932-01-01,0.0023
1932-02-01,0.0023
1932-03-01,0.0016
1932-04-01,0.0011
1932-05-01,6e-04
1932-06-01,2e-04
1932-07-01,3e-04
1932-08-01,3e-04
1932-09-01,3e-04
1932-10-01,2e-04
1932-11-01,2e-04
1932-12-01,1e-04
1933-01-01,1e-04
1933-02-01,-3e-04
1933-03-01,4e-04
1933-04-01,0.001
1933-05-01,4e-04
1933-06-01,2e-04
1933-07-01,2e-04
1933-08-01,3e-04
1933-09-01,2e-04
1933-10-01,1e-04
1933-11-01,2e-04
1933-12-01,2e-04
1934-01-01,5e-04
1934-02-01,2e-04
1934-03-01,2e-04
1934-04-01,1e-04
1934-05-01,1e-04
1934-06-01,1e-04
1934-07-01,1e-04
1934-08-01,1e-04
1934-09-01,1e-04
1934-10-01,1e-04
1934-11-01,1e-04
1934-12-01,1e-04
1935-01-01,1e-04
1935-02-01,2e-04
1935-03-01,1e-04
1935-04-01,1e-04
1935-05-01,1e-04
1935-06-01,1e-04
1935-07-01,1e-04
1935-08-01,1e-04
1935-09-01,1e-04
1935-10-01,1e-04
1935-11-01,2e-04
1935-12-01,1e-04
1936-01-01,1e-04
1936-02-01,1e-04
1936-03-01,2e-04
1936-04-01,2e-04
1936-05-01,2e-04
1936-06-01,3e-04
1936-07-01,1e-04
1936-08-01,2e-04
1936-09-01,1e-04
1936-10-01,2e-04
1936-11-01,1e-04
1936-12-01,0
1937-01-01,1e-04
1937-02-01,2e-04
1937-03-01,1e-04
1937-04-01,3e-04
1937-05-01,6e-04
1937-06-01,3e-04
1937-07-01,3e-04
1937-08-01,2e-04
1937-09-01,4e-04
1937-10-01,2e-04
1937-11-01,2e-04
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,-1e-04
1938-04-01,1e-04
1938-05-01,0
1938-06-01,0
1938-07-01,-1e-04
1938-08-01,0
