brand,collection,sales_revenue,total_variable_cost,contribution_margin_perc,contribution_margin
Elements,Aiden,330647.13,1074963.6572102662,-2.251090239949357,-744316.5272102662
Elements,Arcadia,1219832.55,1160921.8175402335,0.04829411418785845,58910.73245976656
Elements,Asher,3016359.45,2859747.013919282,0.05192101229205903,156612.4360807184
Elements,Belfast,2407136.1,2313361.529466185,0.03895690423728648,93774.5705338153
Elements,Brenton,3784926.65,3547443.5782091552,0.06274443172917099,237483.07179084467
Elements,Calloway,2989322.98,2809301.2771549583,0.060221563226681374,180021.70284504164
Elements,Capri,976000.88,904762.2726725878,0.07299031054911775,71238.60732741223
Elements,Cosgrove,2111795.64,1999368.7982641575,0.053237557463582386,112426.84173584264
Elements,Cypress,596721.51,566666.0964555762,0.050367571875234995,30055.41354442376
Elements,Drake,1693290.88,1607188.3460181623,0.050849227973068345,86102.53398183757
Elements,Edgefield,4198449.32,3949237.9737855527,0.05935795033354063,249211.34621444764
Elements,Florence,1457586.58,1385236.1323934684,0.04963715267365565,72350.44760653167
Elements,Gatsby,1736774.79,1632273.32346247,0.060169843055776995,104501.46653753007
Elements,Geneva,954722.26,897195.8347216453,0.06025461821572553,57526.42527835467
Elements,Glendale,1229707.1700000002,1164331.3473603504,0.053163732175075196,65375.822639649734
Elements,Hadley,1201133.96,1109176.4056892744,0.0765589496035276,91957.55431072554
Elements,Hammond,613717.83,588747.2178100237,0.040687447829202306,24970.612189976266
Elements,Kenner,624738.04,589681.4822061892,0.056114011872577585,35056.55779381085
Elements,Kingsport,711433.79,670793.0537413583,0.05712511386146235,40640.7362586417
Elements,Lindos,1809437.11,1699963.571970523,0.06050143297297417,109473.538029477
Elements,Luxe,406453.07999999996,388773.01350440807,0.043498419290098345,17680.06649559189
Elements,Madison,18193906.49,17096767.911523946,0.0603025292605015,1097138.5784760527
Elements,Merryville,747489.79,712771.1286153453,0.046447004158618244,34718.6613846547
Elements,Naples,7593885.49,7181111.159652859,0.05435614362248453,412774.33034714125
Elements,Palisale,370814.13,347708.2903960168,0.062311108813418725,23105.839603983215
Elements,Park,1188945.8599999999,1106434.9022453588,0.06939841462136975,82510.95775464107
